# sample noise bias chi2_TATT chi2_NLA bayes_fac bayes_fac_err
1.000000000000000000e+00 1.000000000000000000e+00 1.093800000000000050e-01 2.070218074686608816e+02 2.074058074686608961e+02 4.190867145072434852e+00 4.190867145072434852e+00
1.000000000000000000e+00 2.000000000000000000e+00 1.534999999999999976e-01 2.097078074686605760e+02 2.119398074686605469e+02 1.663473137868848983e+00 1.663473137868848983e+00
1.000000000000000000e+00 4.000000000000000000e+00 6.612999999999999434e-02 2.393098074686604377e+02 2.401878074686601394e+02 3.273656868200253367e+00 3.273656868200253367e+00
1.000000000000000000e+00 5.000000000000000000e+00 3.663000000000000284e-02 2.235938074686609980e+02 2.237198074686602922e+02 4.767908162641260716e+00 4.767908162641260716e+00
1.000000000000000000e+00 6.000000000000000000e+00 4.146900000000000031e-01 2.028998074686605833e+02 2.041558074686608961e+02 2.709888983043881705e+00 2.709888983043881705e+00
1.000000000000000000e+00 7.000000000000000000e+00 3.287999999999999950e-02 2.324838074686604159e+02 2.342198074686602922e+02 2.131674174460091553e+00 2.131674174460091553e+00
1.000000000000000000e+00 8.000000000000000000e+00 3.021300000000000097e-01 2.120318074686601904e+02 2.132158074686603868e+02 2.809222257613947171e+00 2.809222257613947171e+00
1.000000000000000000e+00 9.000000000000000000e+00 6.473799999999999555e-01 2.092218074686606997e+02 2.069938074686606342e+02 1.547007740899891104e+01 1.547007740899891104e+01
1.000000000000000000e+00 1.000000000000000000e+01 5.866900000000000448e-01 2.023518074686608088e+02 2.083838074686609616e+02 2.488033803449651304e-01 2.488033803449651304e-01
1.000000000000000000e+00 1.100000000000000000e+01 7.743999999999999495e-02 1.933938074686602704e+02 1.949718074686606997e+02 2.306907004845743181e+00 2.306907004845743181e+00
1.000000000000000000e+00 1.200000000000000000e+01 2.886900000000000022e-01 2.382418074686602267e+02 2.387478074686605396e+02 3.942865204897296305e+00 3.942865204897296305e+00
1.000000000000000000e+00 1.300000000000000000e+01 1.068999999999999985e-02 2.416578074686603941e+02 2.423418074686605905e+02 3.607112779901226585e+00 3.607112779901226585e+00
1.000000000000000000e+00 1.400000000000000000e+01 5.706900000000000306e-01 2.344898074686607288e+02 2.341478074686601758e+02 6.024940889073674199e+00 6.024940889073674199e+00
1.000000000000000000e+00 1.500000000000000000e+01 9.588000000000000689e-02 2.496258074686602413e+02 2.527358074686608234e+02 1.072409159414193791e+00 1.072409159414193791e+00
1.000000000000000000e+00 1.600000000000000000e+01 3.724999999999999839e-02 2.082178074686607943e+02 2.089878074686603213e+02 3.455294417124891382e+00 3.455294417124891382e+00
1.000000000000000000e+00 1.700000000000000000e+01 7.718999999999999473e-02 2.299018074686609907e+02 2.320678074686602486e+02 1.719283558658388333e+00 1.719283558658388333e+00
1.000000000000000000e+00 1.800000000000000000e+01 3.096300000000000163e-01 2.232438074686606342e+02 2.249878074686603213e+02 2.123164508440709586e+00 2.123164508440709586e+00
1.000000000000000000e+00 1.900000000000000000e+01 1.823099999999999998e-01 2.240278074686602849e+02 2.276658074686602049e+02 8.235818581158639295e-01 8.235818581158639295e-01
