# sample noise bias chi2_TATT chi2_NLA bayes_fac bayes_fac_err
4.000000000000000000e+00 1.000000000000000000e+00 7.046900000000000386e-01 2.906718074686605178e+02 3.027398074686607288e+02 4.672993954729153659e-03 4.672993954729153659e-03
4.000000000000000000e+00 2.000000000000000000e+00 8.392500000000000515e-01 2.196438074686602704e+02 2.334298074686603286e+02 1.979412275440714346e-03 1.979412275440714346e-03
4.000000000000000000e+00 1.100000000000000000e+01 4.453099999999999836e-01 1.931678074686606124e+02 2.042698074686604741e+02 7.574595647162446835e-03 7.574595647162446835e-03
4.000000000000000000e+00 1.200000000000000000e+01 8.566300000000000026e-01 2.383938074686602704e+02 2.519858074686608234e+02 2.181035949366580580e-03 2.181035949366580580e-03
4.000000000000000000e+00 1.300000000000000000e+01 3.816300000000000248e-01 2.407938074686608161e+02 2.496678074686606124e+02 2.307615815568126935e-02 2.307615815568126935e-02
4.000000000000000000e+00 1.400000000000000000e+01 4.258100000000000218e-01 2.366538074686604887e+02 2.413318074686603723e+02 1.880673174082355958e-01 1.880673174082355958e-01
4.000000000000000000e+00 1.500000000000000000e+01 2.606299999999999728e-01 2.526718074686605178e+02 2.619118074686602995e+02 1.921708966880426167e-02 1.921708966880426167e-02
4.000000000000000000e+00 1.600000000000000000e+01 3.532500000000000084e-01 2.073538074686603068e+02 2.145178074686609762e+02 5.426068708933982909e-02 5.426068708933982909e-02
4.000000000000000000e+00 1.700000000000000000e+01 9.870000000000000301e-03 2.302478074686605396e+02 2.274838074686604159e+02 7.768248269922834126e+00 7.768248269922834126e+00
4.000000000000000000e+00 1.800000000000000000e+01 2.562499999999999778e-01 2.258098074686604377e+02 2.380818074686603723e+02 4.219851635891022287e-03 4.219851635891022287e-03
4.000000000000000000e+00 1.900000000000000000e+01 7.431299999999999573e-01 2.223998074686605833e+02 2.408038074686610344e+02 1.966755170247700801e-04 1.966755170247700801e-04
4.000000000000000000e+00 2.000000000000000000e+01 2.348099999999999909e-01 2.013018074686606269e+02 2.138958074686606778e+02 3.592326238882359059e-03 3.592326238882359059e-03
4.000000000000000000e+00 3.000000000000000000e+00 5.131299999999999750e-01 2.022838074686605978e+02 2.173118074686608452e+02 1.063749541686056371e-03 1.063749541686056371e-03
4.000000000000000000e+00 2.100000000000000000e+01 2.189939999999999998e+00 2.208818074686605542e+02 2.402198074686602922e+02 1.232919658944328319e-04 1.232919658944328319e-04
4.000000000000000000e+00 2.200000000000000000e+01 8.088800000000000434e-01 2.318238074686605614e+02 2.420858074686602777e+02 1.152824337433832821e-02 1.152824337433832821e-02
4.000000000000000000e+00 2.300000000000000000e+01 2.423800000000000121e-01 2.217498074686609471e+02 2.324418074686609543e+02 9.298006013852208596e-03 9.298006013852208596e-03
4.000000000000000000e+00 2.400000000000000000e+01 4.373099999999999765e-01 2.415318074686601904e+02 2.523178074686602486e+02 8.871110360535647971e-03 8.871110360535647971e-03
4.000000000000000000e+00 2.500000000000000000e+01 1.019999999999999934e-01 2.202018074686602631e+02 2.338698074686608379e+02 2.099711533004107195e-03 2.099711533004107195e-03
4.000000000000000000e+00 2.600000000000000000e+01 8.015600000000000502e-01 2.541178074686604305e+02 2.749298074686603286e+02 5.900105051228924312e-05 5.900105051228924312e-05
4.000000000000000000e+00 2.700000000000000000e+01 7.261300000000000532e-01 2.408798074686601467e+02 2.473298074686608743e+02 7.754046817358151156e-02 7.754046817358151156e-02
4.000000000000000000e+00 2.800000000000000000e+01 4.833100000000000174e-01 2.100918074686605905e+02 2.188938074686602704e+02 2.392203426663759222e-02 2.392203426663759222e-02
4.000000000000000000e+00 2.900000000000000000e+01 4.951300000000000145e-01 2.242838074686605978e+02 2.353858074686604596e+02 7.574595647162446835e-03 7.574595647162446835e-03
4.000000000000000000e+00 3.000000000000000000e+01 1.281940000000000079e+00 2.320058074686603504e+02 2.463118074686608452e+02 1.526228973937275146e-03 1.526228973937275146e-03
4.000000000000000000e+00 4.000000000000000000e+00 2.813100000000000045e-01 2.147658074686605687e+02 2.218658074686609325e+02 5.602510926963536614e-02 5.602510926963536614e-02
4.000000000000000000e+00 3.100000000000000000e+01 1.456300000000000094e-01 1.996458074686606778e+02 2.253458074686604959e+02 5.122052558458496087e-06 5.122052558458496087e-06
4.000000000000000000e+00 3.200000000000000000e+01 1.411300000000000054e-01 2.411638074686607069e+02 2.429018074686609907e+02 8.179489857571351497e-01 8.179489857571351497e-01
4.000000000000000000e+00 3.300000000000000000e+01 6.146300000000000097e-01 2.211118074686610271e+02 2.233798074686601467e+02 6.275353286499558703e-01 6.275353286499558703e-01
4.000000000000000000e+00 3.400000000000000000e+01 1.097560000000000091e+00 2.095558074686605323e+02 2.339538074686606706e+02 9.821317212270907037e-06 9.821317212270907037e-06
4.000000000000000000e+00 3.500000000000000000e+01 3.529999999999999805e-01 2.139078074686603941e+02 2.106778074686608306e+02 9.806492742763879278e+00 9.806492742763879278e+00
4.000000000000000000e+00 3.600000000000000000e+01 1.701999999999999957e+00 2.347538074686608525e+02 2.525598074686604377e+02 2.652188274095275649e-04 2.652188274095275649e-04
4.000000000000000000e+00 3.700000000000000000e+01 8.754999999999999449e-01 2.119418074686609543e+02 2.192238074686601976e+02 5.115191701827237480e-02 5.115191701827237480e-02
4.000000000000000000e+00 3.800000000000000000e+01 1.078999999999999959e+00 2.106298074686601467e+02 2.270358074686610053e+02 5.340851317677411478e-04 5.340851317677411478e-04
4.000000000000000000e+00 3.900000000000000000e+01 3.662500000000000200e-01 2.481818074686607360e+02 2.560478074686607215e+02 3.819864218395174066e-02 3.819864218395174066e-02
4.000000000000000000e+00 4.000000000000000000e+01 1.387059999999999960e+00 1.890638074686603431e+02 2.077318074686609179e+02 1.723548182972265796e-04 1.723548182972265796e-04
4.000000000000000000e+00 5.000000000000000000e+00 2.909999999999999809e-01 2.310858074686602777e+02 2.328998074686605833e+02 7.874500735772168580e-01 7.874500735772168580e-01
4.000000000000000000e+00 4.100000000000000000e+01 2.096899999999999875e-01 2.460658074686607506e+02 2.531998074686607652e+02 5.508073235943236612e-02 5.508073235943236612e-02
4.000000000000000000e+00 4.200000000000000000e+01 6.501299999999999857e-01 2.190558074686605323e+02 2.391558074686608961e+02 8.423034506682091336e-05 8.423034506682091336e-05
4.000000000000000000e+00 4.300000000000000000e+01 4.263000000000000123e-02 2.237138074686608888e+02 2.375838074686607797e+02 1.897998614214478890e-03 1.897998614214478890e-03
4.000000000000000000e+00 4.400000000000000000e+01 1.082940000000000014e+00 2.225598074686604377e+02 2.342698074686604741e+02 5.588997707227671453e-03 5.588997707227671453e-03
4.000000000000000000e+00 4.500000000000000000e+01 1.668800000000000006e-01 2.436958074686608597e+02 2.551778074686608306e+02 6.263881056348277396e-03 6.263881056348277396e-03
4.000000000000000000e+00 4.600000000000000000e+01 1.175249999999999906e+00 2.096758074686604232e+02 2.268238074686605614e+02 3.685422094530899865e-04 3.685422094530899865e-04
4.000000000000000000e+00 4.700000000000000000e+01 4.438000000000000278e-02 2.291498074686605833e+02 2.279158074686602049e+02 3.614829504228061818e+00 3.614829504228061818e+00
4.000000000000000000e+00 4.800000000000000000e+01 5.079399999999999471e-01 2.265718074686601540e+02 2.382978074686607215e+02 5.544464097519535666e-03 5.544464097519535666e-03
4.000000000000000000e+00 4.900000000000000000e+01 1.140000000000000041e-01 1.939558074686601685e+02 2.127818074686601904e+02 1.592627332771599335e-04 1.592627332771599335e-04
4.000000000000000000e+00 5.000000000000000000e+01 7.916900000000000048e-01 1.977118074686604814e+02 2.116738074686609252e+02 1.812668320754151890e-03 1.812668320754151890e-03
4.000000000000000000e+00 6.000000000000000000e+00 3.013000000000000053e-02 2.069138074686607069e+02 2.101778074686608306e+02 3.813814174591887429e-01 3.813814174591887429e-01
