# sample noise bias chi2_TATT chi2_NLA bayes_fac bayes_fac_err
1.000000000000000000e+00 5.000000000000000000e+01 4.667499999999999982e-01 1.998598074686606196e+02 2.018078074686609398e+02 1.917280294175878419e+00 1.917280294175878419e+00
1.000000000000000000e+00 5.100000000000000000e+01 1.000000000000000056e-01 2.141638074686607069e+02 2.159098074686608015e+02 2.121042405160318722e+00 2.121042405160318722e+00
1.000000000000000000e+00 5.200000000000000000e+01 3.598799999999999777e-01 1.959038074686604887e+02 2.002538074686608525e+02 5.768965421325090714e-01 5.768965421325090714e-01
1.000000000000000000e+00 5.300000000000000000e+01 2.912999999999999964e-02 2.382698074686604741e+02 2.378158074686607506e+02 6.371963528931674503e+00 6.371963528931674503e+00
1.000000000000000000e+00 5.400000000000000000e+01 3.168799999999999950e-01 2.388498074686604014e+02 2.424798074686605105e+02 8.268827829967790866e-01 8.268827829967790866e-01
1.000000000000000000e+00 5.500000000000000000e+01 1.324999999999999963e-02 2.849938074686606342e+02 2.849398074686605469e+02 5.216922498628613347e+00 5.216922498628613347e+00
1.000000000000000000e+00 5.600000000000000000e+01 4.165599999999999858e-01 2.166278074686606487e+02 2.202238074686601976e+02 8.410599548366866074e-01 8.410599548366866074e-01
1.000000000000000000e+00 5.700000000000000000e+01 7.062999999999999834e-02 2.155518074686606269e+02 2.152618074686606633e+02 5.870311321041286057e+00 5.870311321041286057e+00
1.000000000000000000e+00 5.800000000000000000e+01 3.310000000000000164e-01 2.035598074686604377e+02 2.089438074686604523e+02 3.440073238362134633e-01 3.440073238362134633e-01
1.000000000000000000e+00 5.900000000000000000e+01 2.243100000000000094e-01 2.026858074686606415e+02 2.016478074686601758e+02 8.532715589883094864e+00 8.532715589883094864e+00
1.000000000000000000e+00 6.100000000000000000e+01 8.419000000000000095e-02 2.319398074686605469e+02 2.340178074686609762e+02 1.796620981846774212e+00 1.796620981846774212e+00
1.000000000000000000e+00 6.200000000000000000e+01 1.549399999999999944e-01 2.197238074686601976e+02 2.250478074686607215e+02 3.544839065601516626e-01 3.544839065601516626e-01
1.000000000000000000e+00 6.300000000000000000e+01 1.200000000000000025e-02 2.425298074686606924e+02 2.490918074686605905e+02 1.908834337747874199e-01 1.908834337747874199e-01
1.000000000000000000e+00 6.400000000000000000e+01 1.815599999999999992e-01 2.036758074686604232e+02 2.044618074686604814e+02 3.427762336945300969e+00 3.427762336945300969e+00
1.000000000000000000e+00 6.500000000000000000e+01 1.108100000000000057e-01 2.303338074686607797e+02 2.326378074686608670e+02 1.604653215915004649e+00 1.604653215915004649e+00
1.000000000000000000e+00 6.600000000000000000e+01 2.450000000000000094e-02 2.249418074686609543e+02 2.270878074686606851e+02 1.736562645687557582e+00 1.736562645687557582e+00
