# sample noise bias chi2_TATT chi2_NLA bayes_fac bayes_fac_err
2.100000000000000000e+01 5.000000000000000000e+01 2.245379999999999932e+00 2.027278074686610125e+02 9.810278074686602849e+02 1.783123755180617174e-175 1.783123755180617174e-175
2.100000000000000000e+01 5.100000000000000000e+01 1.992560000000000109e+00 2.202738074686603795e+02 1.018955807468660169e+03 6.687848411923520612e-180 6.687848411923520612e-180
2.100000000000000000e+01 5.200000000000000000e+01 3.389190000000000147e+00 1.956838074686602340e+02 9.216738074686609252e+02 4.075244406457483418e-164 4.075244406457483418e-164
2.100000000000000000e+01 5.300000000000000000e+01 1.550499999999999989e+00 2.371078074686602122e+02 9.711758074686604232e+02 7.178575089956173143e-166 7.178575089956173143e-166
2.100000000000000000e+01 5.400000000000000000e+01 9.685599999999999765e-01 2.483538074686603068e+02 9.924798074686605105e+02 4.698630549986200494e-168 4.698630549986200494e-168
2.100000000000000000e+01 5.500000000000000000e+01 2.468309999999999782e+00 2.866158074686609325e+02 1.086411807468660299e+03 3.831637317351995474e-180 3.831637317351995474e-180
2.100000000000000000e+01 5.600000000000000000e+01 3.547500000000000098e-01 2.226138074686605250e+02 1.051633807468660962e+03 1.727720254999017961e-186 1.727720254999017961e-186
2.100000000000000000e+01 5.700000000000000000e+01 1.244499999999999940e+00 2.136878074686601394e+02 1.004547807468660721e+03 3.340505102525300155e-178 3.340505102525300155e-178
2.100000000000000000e+01 5.800000000000000000e+01 1.318189999999999973e+00 2.061438074686602704e+02 1.059515807468660569e+03 8.902332542013338375e-192 8.902332542013338375e-192
2.100000000000000000e+01 5.900000000000000000e+01 2.538879999999999804e+00 2.069718074686606997e+02 9.228358074686602777e+02 6.441494226499530060e-162 6.441494226499530060e-162
2.100000000000000000e+01 6.000000000000000000e+01 9.297499999999999654e-01 2.309998074686609471e+02 9.988878074686608670e+02 3.251760554950951986e-173 3.251760554950951986e-173
2.100000000000000000e+01 6.100000000000000000e+01 5.556900000000000173e-01 2.326078074686602122e+02 9.812198074686602922e+02 4.987108021313416280e-169 4.987108021313416280e-169
2.100000000000000000e+01 6.200000000000000000e+01 1.846249999999999947e+00 2.191638074686607069e+02 1.083927807468660831e+03 2.990628337842996625e-194 2.990628337842996625e-194
2.100000000000000000e+01 6.300000000000000000e+01 1.793309999999999960e+00 2.417318074686609179e+02 1.102425807468660423e+03 2.288504205478279646e-193 2.288504205478279646e-193
2.100000000000000000e+01 6.400000000000000000e+01 1.704749999999999988e+00 2.054638074686608888e+02 1.045447807468660358e+03 7.189042895374633505e-189 7.189042895374633505e-189
2.100000000000000000e+01 6.500000000000000000e+01 2.140880000000000116e+00 2.303698074686608379e+02 1.062683807468660234e+03 3.328054372788307164e-187 3.328054372788307164e-187
2.100000000000000000e+01 6.600000000000000000e+01 1.044380000000000086e+00 2.158618074686610271e+02 1.007983807468660416e+03 1.777347392465280760e-178 1.777347392465280760e-178
2.100000000000000000e+01 6.700000000000000000e+01 1.692379999999999995e+00 2.043858074686604596e+02 9.657778074686602849e+02 8.369644963768364632e-172 8.369644963768364632e-172
2.100000000000000000e+01 6.800000000000000000e+01 1.655250000000000110e+00 1.940638074686603431e+02 1.051773807468660380e+03 1.017464070102607712e-192 1.017464070102607712e-192
2.100000000000000000e+01 6.900000000000000000e+01 1.715249999999999941e+00 2.119178074686606124e+02 1.050459807468660983e+03 1.478418527263789572e-188 1.478418527263789572e-188
2.100000000000000000e+01 7.000000000000000000e+01 1.309309999999999974e+00 2.255038074686608525e+02 9.731738074686609252e+02 7.987327209926423986e-169 7.987327209926423986e-169
2.100000000000000000e+01 7.100000000000000000e+01 2.155879999999999797e+00 2.273438074686609980e+02 1.031513807468660161e+03 4.301127952511349366e-181 4.301127952511349366e-181
2.100000000000000000e+01 7.200000000000000000e+01 7.993799999999999795e-01 2.310938074686609980e+02 9.573398074686601831e+02 3.585617561864625682e-164 3.585617561864625682e-164
2.100000000000000000e+01 7.300000000000000000e+01 8.228799999999999448e-01 1.856918074686609543e+02 9.929798074686605105e+02 9.047264038637586269e-182 9.047264038637586269e-182
2.100000000000000000e+01 7.400000000000000000e+01 2.291380000000000194e+00 2.608178074686602486e+02 1.086895807468660678e+03 7.521779666998118194e-186 7.521779666998118194e-186
2.100000000000000000e+01 7.500000000000000000e+01 1.951379999999999892e+00 2.128338074686607797e+02 9.016778074686608306e+02 4.745752360054927113e-156 4.745752360054927113e-156
2.100000000000000000e+01 7.600000000000000000e+01 1.218059999999999921e+00 2.232238074686601976e+02 1.042371807468660336e+03 2.405198849441515276e-184 2.405198849441515276e-184
2.100000000000000000e+01 7.700000000000000000e+01 1.461940000000000017e+00 2.163438074686609980e+02 1.034493807468660634e+03 3.961538982925857687e-184 3.961538982925857687e-184
2.100000000000000000e+01 7.800000000000000000e+01 6.284999999999999476e-01 2.180658074686607506e+02 9.562458074686610416e+02 9.186049742488111834e-167 9.186049742488111834e-167
2.100000000000000000e+01 7.900000000000000000e+01 8.907500000000000417e-01 2.296918074686609543e+02 9.895078074686607579e+02 1.840479936930905007e-171 1.840479936930905007e-171
2.100000000000000000e+01 8.000000000000000000e+01 1.340750000000000108e+00 2.325478074686607215e+02 1.006887807468660867e+03 1.291470706950273857e-174 1.291470706950273857e-174
