# sample noise bias chi2_TATT chi2_NLA bayes_fac bayes_fac_err
2.000000000000000000e+00 5.000000000000000000e+01 4.659749999999999837e+00 1.996558074686608961e+02 2.367038074686606706e+02 6.190697362397645377e-50 6.190697362397645377e-50
2.000000000000000000e+00 5.100000000000000000e+01 2.899630000000000152e+00 2.080078074686607579e+02 2.379658074686603868e+02 2.144438086826342365e-48 2.144438086826342365e-48
2.000000000000000000e+00 5.200000000000000000e+01 1.727999999999999980e+00 2.003998074686605833e+02 2.371598074686608015e+02 7.149538004518552213e-50 7.149538004518552213e-50
2.000000000000000000e+00 5.300000000000000000e+01 1.461999999999999966e+00 2.359398074686605469e+02 2.553118074686608452e+02 4.266131172303178113e-46 4.266131172303178113e-46
2.000000000000000000e+00 5.400000000000000000e+01 7.868800000000000239e-01 2.406058074686607142e+02 2.557738074686603795e+02 3.490769764876275825e-45 3.490769764876275825e-45
2.000000000000000000e+00 5.500000000000000000e+01 2.237130000000000063e+00 2.848538074686603068e+02 2.983478074686609034e+02 8.061682445688669402e-45 8.061682445688669402e-45
2.000000000000000000e+00 5.600000000000000000e+01 1.746750000000000025e+00 2.234838074686604159e+02 2.542338074686604159e+02 1.443221191457018939e-48 1.443221191457018939e-48
2.000000000000000000e+00 5.700000000000000000e+01 2.483249999999999957e+00 2.182338074686604159e+02 2.388318074686603723e+02 2.311062482421122853e-46 2.311062482421122853e-46
2.000000000000000000e+00 5.900000000000000000e+01 1.436690000000000023e+00 2.046298074686601467e+02 2.281618074686602995e+02 5.329686726228620721e-47 5.329686726228620721e-47
2.000000000000000000e+00 6.000000000000000000e+01 1.754999999999999893e+00 2.285618074686608452e+02 2.436078074686602122e+02 3.710335392765038186e-45 3.710335392765038186e-45
2.000000000000000000e+00 6.100000000000000000e+01 1.165440000000000031e+00 2.315098074686602558e+02 2.523098074686604377e+02 2.089045718923423907e-46 2.089045718923423907e-46
2.000000000000000000e+00 6.200000000000000000e+01 1.098060000000000036e+00 2.209138074686607069e+02 2.480598074686604377e+02 8.748458853935105910e-48 8.748458853935105910e-48
2.000000000000000000e+00 6.300000000000000000e+01 2.236380000000000035e+00 2.421758074686604232e+02 2.848318074686603723e+02 3.749538751659637556e-51 3.749538751659637556e-51
2.000000000000000000e+00 6.400000000000000000e+01 1.831250000000000044e+00 2.041158074686609325e+02 2.352758074686607870e+02 1.175716270608630457e-48 1.175716270608630457e-48
2.000000000000000000e+00 6.500000000000000000e+01 1.736629999999999896e+00 2.296558074686608961e+02 2.564438074686604523e+02 1.046333826880648896e-47 1.046333826880648896e-47
2.000000000000000000e+00 6.600000000000000000e+01 1.383629999999999916e+00 2.231858074686606415e+02 2.444618074686604814e+02 1.646591457473644757e-46 1.646591457473644757e-46
2.000000000000000000e+00 6.700000000000000000e+01 1.402500000000000080e+00 2.017978074686607215e+02 2.128498074686604014e+02 2.733375198206017708e-44 2.733375198206017708e-44
2.000000000000000000e+00 6.800000000000000000e+01 2.357880000000000198e+00 1.910918074686605905e+02 2.235058074686603504e+02 6.280581971904199730e-49 6.280581971904199730e-49
2.000000000000000000e+00 6.900000000000000000e+01 9.661300000000000443e-01 2.099718074686606997e+02 2.248098074686604377e+02 4.116989839700708876e-45 4.116989839700708876e-45
2.000000000000000000e+00 7.000000000000000000e+01 2.744499999999999940e+00 2.198038074686610344e+02 2.421818074686607360e+02 9.490511033764712031e-47 9.490511033764712031e-47
2.000000000000000000e+00 7.100000000000000000e+01 2.998559999999999892e+00 2.205398074686609107e+02 2.444518074686602631e+02 4.407433119313217588e-47 4.407433119313217588e-47
2.000000000000000000e+00 7.200000000000000000e+01 1.783379999999999965e+00 2.322578074686607579e+02 2.546738074686609252e+02 9.311893563465407239e-47 9.311893563465407239e-47
2.000000000000000000e+00 7.300000000000000000e+01 2.386130000000000084e+00 1.869298074686603286e+02 2.153618074686610271e+02 4.599177825242307909e-48 4.599177825242307909e-48
2.000000000000000000e+00 7.400000000000000000e+01 8.540600000000000414e-01 2.613078074686609398e+02 2.867458074686610416e+02 2.055034139865759009e-47 2.055034139865759009e-47
2.000000000000000000e+00 7.500000000000000000e+01 8.134400000000000519e-01 2.117118074686604814e+02 2.205378074686605032e+02 8.318959458281831305e-44 8.318959458281831305e-44
2.000000000000000000e+00 7.600000000000000000e+01 1.674190000000000067e+00 2.259978074686605396e+02 2.470518074686606269e+02 1.839892908250882371e-46 1.839892908250882371e-46
2.000000000000000000e+00 7.700000000000000000e+01 1.338689999999999936e+00 2.139158074686602049e+02 2.360098074686602558e+02 1.093854140019808989e-46 1.093854140019808989e-46
2.000000000000000000e+00 7.800000000000000000e+01 1.247000000000000108e+00 2.093558074686607142e+02 2.285138074686601612e+02 4.747923515760270021e-46 4.747923515760270021e-46
