# sample noise bias chi2_TATT chi2_NLA bayes_fac bayes_fac_err
2.000000000000000000e+00 1.000000000000000000e+00 6.736900000000000110e-01 2.067118074686604814e+02 2.193638074686605250e+02 1.228184646353391656e-44 1.228184646353391656e-44
2.000000000000000000e+00 2.000000000000000000e+00 3.461749999999999883e+00 2.096298074686601467e+02 2.425898074686601831e+02 4.780105640927935568e-49 4.780105640927935568e-49
2.000000000000000000e+00 3.000000000000000000e+00 7.369999999999999885e-01 2.065438074686608161e+02 2.214478074686603577e+02 3.983346419347095259e-45 3.983346419347095259e-45
2.000000000000000000e+00 4.000000000000000000e+00 2.127749999999999808e+00 2.383558074686607142e+02 2.593438074686609980e+02 1.901622307468766241e-46 1.901622307468766241e-46
2.000000000000000000e+00 5.000000000000000000e+00 2.422940000000000094e+00 2.206098074686606196e+02 2.437078074686605760e+02 6.621304870572705238e-47 6.621304870572705238e-47
2.000000000000000000e+00 6.000000000000000000e+00 2.339630000000000098e+00 2.001398074686603650e+02 2.277198074686602922e+02 7.041896716763361857e-48 7.041896716763361857e-48
2.000000000000000000e+00 7.000000000000000000e+00 2.356310000000000127e+00 2.339258074686604232e+02 2.573558074686607142e+02 5.608551356037600944e-47 5.608551356037600944e-47
2.000000000000000000e+00 8.000000000000000000e+00 2.653379999999999850e+00 2.130458074686603140e+02 2.430738074686605614e+02 2.070681031467889299e-48 2.070681031467889299e-48
2.000000000000000000e+00 9.000000000000000000e+00 1.650000000000000078e-01 2.103558074686607142e+02 2.255278074686602849e+02 3.483795202234184531e-45 3.483795202234184531e-45
2.000000000000000000e+00 1.100000000000000000e+01 8.872499999999999831e-01 1.917358074686608234e+02 2.076158074686609325e+02 2.445188643840338327e-45 2.445188643840338327e-45
2.000000000000000000e+00 1.200000000000000000e+01 2.848500000000000032e+00 2.405118074686606633e+02 2.650278074686602849e+02 3.258583073562628990e-47 3.258583073562628990e-47
2.000000000000000000e+00 1.300000000000000000e+01 1.560689999999999911e+00 2.408658074686609325e+02 2.607438074686606342e+02 3.312513834941456526e-46 3.312513834941456526e-46
2.000000000000000000e+00 1.400000000000000000e+01 2.232060000000000155e+00 2.352458074686610416e+02 2.513738074686607433e+02 2.160030355124427649e-45 2.160030355124427649e-45
2.000000000000000000e+00 1.500000000000000000e+01 1.706879999999999953e+00 2.541238074686607433e+02 2.722698074686604741e+02 7.875111693318890117e-46 7.875111693318890117e-46
2.000000000000000000e+00 1.600000000000000000e+01 1.616880000000000095e+00 2.061458074686606778e+02 2.336498074686605833e+02 7.314638058406731024e-48 7.314638058406731024e-48
2.000000000000000000e+00 1.700000000000000000e+01 1.024440000000000017e+00 2.307618074686606633e+02 2.399458074686608597e+02 6.955531079913598641e-44 6.955531079913598641e-44
2.000000000000000000e+00 1.800000000000000000e+01 7.486899999999999666e-01 2.259818074686609179e+02 2.461698074686610198e+02 2.836887123867745129e-46 2.836887123867745129e-46
2.000000000000000000e+00 1.900000000000000000e+01 1.918060000000000098e+00 2.259438074686604523e+02 2.531778074686608306e+02 8.371872322060603097e-48 8.371872322060603097e-48
2.000000000000000000e+00 2.000000000000000000e+01 4.441899999999999737e-01 1.987218074686606997e+02 2.167818074686601904e+02 8.221127522837752242e-46 8.221127522837752242e-46
2.000000000000000000e+00 2.100000000000000000e+01 2.204380000000000006e+00 2.223998074686605833e+02 2.526518074686609907e+02 1.851280485298634772e-48 1.851280485298634772e-48
2.000000000000000000e+00 2.200000000000000000e+01 2.539130000000000109e+00 2.345778074686604668e+02 2.640998074686604014e+02 2.666795472086594885e-48 2.666795472086594885e-48
2.000000000000000000e+00 2.300000000000000000e+01 1.990690000000000071e+00 2.187978074686607215e+02 2.396778074686608306e+02 2.007133064648071572e-46 2.007133064648071572e-46
2.000000000000000000e+00 2.400000000000000000e+01 1.801940000000000097e+00 2.422258074686606051e+02 2.690878074686606851e+02 1.008326938573065097e-47 1.008326938573065097e-47
2.000000000000000000e+00 2.500000000000000000e+01 2.043379999999999974e+00 2.206258074686602413e+02 2.523678074686604305e+02 8.788663451807647104e-49 8.788663451807647104e-49
2.000000000000000000e+00 2.600000000000000000e+01 2.174879999999999924e+00 2.555798074686608743e+02 2.948198074686606560e+02 2.068963464063573615e-50 2.068963464063573615e-50
2.000000000000000000e+00 2.700000000000000000e+01 2.266000000000000014e+00 2.404778074686610125e+02 2.646358074686604596e+02 3.897332952575584941e-47 3.897332952575584941e-47
2.000000000000000000e+00 2.800000000000000000e+01 1.350880000000000081e+00 2.121798074686603286e+02 2.305218074686608816e+02 7.139961383684319838e-46 7.139961383684319838e-46
